Time (ms),ENC_POS_BHG2_Z_t=4680,DAC_BHG2_Z_t=4680,ENC_POS_BHG2_BF_VCM_t=4680,BHG2_ADC_PORT_BF_CAL_t=4680,GMP_OCA_PORT_20_t=4680,GMP_OCA_PORT_27_t=4680,GMP_OCA_PORT_28_t=4680
234.875,-5561.0,-423,964.8000000000001,1478.7,3,-423.107147,-423.127228
235.0,-5561.0,-423,964.8000000000001,1482.6,3,-423.109863,-423.125092
235.125,-5561.0,-423,964.9000000000001,1491.0,3,-423.112976,-423.122467
235.25,-5561.0,-423,964.9000000000001,1484.1,3,-423.116211,-423.119598
235.375,-5561.0,-423,964.9000000000001,1479.0,3,-423.119385,-423.116516
235.5,-5561.0,-423,964.9000000000001,1485.3,3,-423.122467,-423.113251
235.625,-5561.0,-423,964.9000000000001,1488.3,3,-423.125214,-423.109955
235.75,-5561.0,-423,964.9000000000001,1487.1,3,-423.127625,-423.10672
235.875,-5561.0,-423,964.9000000000001,1475.1,3,-423.129456,-423.103699
236.0,-5561.0,-423,964.9000000000001,1479.8999999999999,3,-423.130646,-423.100952
236.125,-5561.0,-423,964.9000000000001,1491.8999999999999,3,-423.131287,-423.098419
236.25,-5561.0,-423,964.9000000000001,1488.8999999999999,3,-423.131287,-423.096283
236.375,-5561.0,-423,964.9000000000001,1481.1,3,-423.130676,-423.094604
236.5,-5561.0,-423,964.9000000000001,1476.8999999999999,3,-423.129486,-423.093384
236.625,-5561.0,-423,964.9000000000001,1482.6,3,-423.127655,-423.092499
236.75,-5561.0,-423,964.8000000000001,1490.3999999999999,3,-423.125244,-423.09201
236.875,-5561.0,-423,964.8000000000001,1481.7,3,-423.122375,-423.091644
237.0,-5561.0,-423,964.8000000000001,1475.3999999999999,3,-423.119507,-423.09137
237.125,-5561.0,-423,964.8000000000001,1482.0,3,-423.116669,-423.091187
237.25,-5561.0,-423,964.8000000000001,1486.8,3,-423.113831,-423.091156
237.375,-5561.0,-423,964.8000000000001,1482.8999999999999,3,-423.110931,-423.091248
237.5,-5561.0,-423,964.8000000000001,1476.3,3,-423.107971,-423.091461
237.625,-5561.0,-423,964.8000000000001,1476.6,3,-423.104706,-423.092041
237.75,-5561.0,-423,964.8000000000001,1481.3999999999999,3,-423.101227,-423.092834
237.875,-5561.0,-423,964.8000000000001,1487.3999999999999,3,-423.097565,-423.093842
238.0,-5561.0,-423,964.8000000000001,1477.2,3,-423.093658,-423.095093
238.125,-5561.0,-423,964.8000000000001,1480.5,3,-423.089722,-423.096375
238.25,-5561.0,-423,964.8000000000001,1483.2,3,-423.085846,-423.097717
238.375,-5561.0,-423,964.8000000000001,1487.7,3,-423.08194,-423.099091
238.5,-5561.0,-423,964.8000000000001,1480.2,3,-423.078033,-423.100739
238.625,-5561.0,-423,964.8000000000001,1474.2,3,-423.074097,-423.102539
238.75,-5561.0,-423,964.8000000000001,1477.8,3,-423.07016,-423.104645
238.875,-5561.0,-423,964.8000000000001,1480.5,3,-423.066223,-423.107147
239.0,-5561.0,-423,964.8000000000001,1480.2,3,-423.0625,-423.109863
239.125,-5561.0,-423,964.8000000000001,1479.3,3,-423.058838,-423.112976
239.25,-5561.0,-423,964.8000000000001,1473.3,3,-423.055298,-423.116211
239.375,-5561.0,-423,964.8000000000001,1481.3999999999999,3,-423.052063,-423.119385
239.5,-5561.0,-423,964.8000000000001,1485.0,3,-423.048981,-423.122467
239.625,-5561.0,-423,964.8000000000001,1478.3999999999999,3,-423.04599,-423.125214
239.75,-5561.0,-423,964.8000000000001,1476.0,3,-423.043152,-423.127625
239.875,-5561.0,-423,964.8000000000001,1481.1,3,-423.040588,-423.129456
240.0,-5561.0,-423,964.8000000000001,1481.7,3,-423.038239,-423.130646
240.125,-5561.0,-423,964.8000000000001,1482.0,3,-423.036163,-423.131287
240.25,-5561.0,-423,964.9000000000001,1476.8999999999999,3,-423.03418,-423.131287
240.375,-5561.0,-422,964.8000000000001,1480.5,3,-423.032288,-423.130676
240.5,-5561.0,-422,964.8000000000001,1482.3,3,-423.030273,-423.129486
240.625,-5561.0,-422,964.8000000000001,1485.8999999999999,3,-423.028351,-423.127655
240.75,-5561.0,-422,964.8000000000001,1478.1,3,-423.02655,-423.125244
240.875,-5561.0,-422,964.8000000000001,1476.3,3,-423.024841,-423.122375
241.0,-5561.0,-422,964.8000000000001,1483.2,3,-423.022919,-423.119507
241.125,-5561.0,-422,964.8000000000001,1482.0,3,-423.020905,-423.116669
241.25,-5561.0,-422,964.8000000000001,1480.8,3,-423.018799,-423.113831
241.375,-5561.0,-422,964.8000000000001,1477.5,3,-423.016663,-423.110931
241.5,-5561.0,-422,964.8000000000001,1479.3,3,-423.014465,-423.107971
241.625,-5561.0,-422,964.8000000000001,1482.6,3,-423.012207,-423.104706
241.75,-5561.0,-422,964.9000000000001,1485.8999999999999,3,-423.009888,-423.101227
241.875,-5561.0,-422,964.9000000000001,1482.8999999999999,3,-423.007477,-423.097565
242.0,-5561.0,-422,964.9000000000001,1481.1,3,-423.004974,-423.093658
242.125,-5561.0,-422,964.9000000000001,1485.3,3,-423.00235,-423.089722
242.25,-5561.0,-422,964.9000000000001,1487.7,3,-422.999542,-423.085846
242.375,-5561.0,-422,964.9000000000001,1484.3999999999999,3,-422.996552,-423.08194
242.5,-5561.0,-422,964.9000000000001,1484.3999999999999,3,-422.993744,-423.078033
242.625,-5561.0,-422,964.9000000000001,1485.0,3,-422.991272,-423.074097
242.75,-5561.0,-422,964.9000000000001,1484.7,3,-422.989075,-423.07016
242.875,-5561.0,-422,964.9000000000001,1479.3,3,-422.987091,-423.066223
243.0,-5561.0,-422,964.9000000000001,1483.8,3,-422.985291,-423.0625
243.125,-5561.0,-422,964.8000000000001,1480.2,3,-422.983673,-423.058838
243.25,-5561.0,-422,964.8000000000001,1481.3999999999999,3,-422.982147,-423.055298
243.375,-5561.0,-422,964.8000000000001,1483.2,3,-422.980927,-423.052063
243.5,-5561.0,-422,964.8000000000001,1476.0,3,-422.980042,-423.048981
243.625,-5561.0,-423,964.8000000000001,1481.3999999999999,3,-422.979553,-423.04599
243.75,-5561.0,-423,964.8000000000001,1480.2,3,-422.979645,-423.043152
243.875,-5561.0,-423,964.8000000000001,1481.1,3,-422.980103,-423.040588
244.0,-5561.0,-423,964.8000000000001,1478.7,3,-422.980865,-423.038239
244.125,-5561.0,-423,964.8000000000001,1478.1,3,-422.981964,-423.036163
244.25,-5561.0,-423,964.8000000000001,1481.1,3,-422.983429,-423.03418
244.375,-5561.0,-423,964.8000000000001,1479.0,3,-422.985199,-423.032288
244.5,-5561.0,-423,964.8000000000001,1480.2,3,-422.987579,-423.030273
244.625,-5561.0,-423,964.8000000000001,1479.6,3,-422.990387,-423.028351
244.75,-5561.0,-423,964.8000000000001,1476.0,3,-422.993439,-423.02655
244.875,-5561.0,-423,964.8000000000001,1481.3999999999999,3,-422.996765,-423.024841
245.0,-5561.0,-423,964.7,1481.1,3,-423.000336,-423.022919
245.125,-5561.0,-423,964.7,1477.5,3,-423.003998,-423.020905
245.25,-5561.0,-423,964.8000000000001,1479.0,3,-423.007935,-423.018799
245.375,-5561.0,-423,964.8000000000001,1484.1,3,-423.011993,-423.016663
245.5,-5561.0,-423,964.8000000000001,1480.2,3,-423.015991,-423.014465
245.625,-5561.0,-423,964.8000000000001,1479.3,3,-423.020142,-423.012207
